fund_code,fund_name,ann_return_pct,ann_vol_pct,sharpe,ann_excess_return_pct,tracking_error_pct,information_ratio,max_drawdown_pct
001556.OF,天弘中证500指数增强A,50.16744880978943,21.69255767514188,2.312657159246728,5.72373656978943,2.9347245150227477,1.9503488455184912,-14.23911881082237
001557.OF,天弘中证500指数增强C,49.87001202829723,21.68655783368814,2.2995817229615203,5.426299788297242,2.9404706514995675,1.8453847806744688,-14.254131432045543
561550.OF,华泰柏瑞中证500增强策略ETF,52.30216046669788,22.621963499464716,2.3120079947054752,7.858448226697876,4.296123239079022,1.8291952510148486,-13.925431122622872
014305.OF,华泰柏瑞中证500指数增强A,50.72179571408003,20.44753514541828,2.4805823955483146,6.2780834740800335,4.327906376737532,1.4506051951180576,-11.729872747889626
014306.OF,华泰柏瑞中证500指数增强C,50.322819674967874,20.44101224179642,2.4618555617353977,5.879107434967878,4.330462952954344,1.3576163793196783,-11.744386873920552
159610.OF,景顺长城中证500增强策略ETF,49.36111368236501,21.439422017019872,2.302352817309126,4.917401442365012,4.142822995402217,1.1869687524237547,-12.887941246150202
004945.OF,长信中证500指数增强A,48.01263131669892,19.706374008659516,2.4364011002531907,3.5689190766989123,6.88359201766443,0.5184675482713791,-11.697445810883057
006048.OF,长城中证500指数增强A,46.116983074735195,21.881702539856835,2.1075591805863625,1.6732708347351983,4.403059511667016,0.38002457843266607,-12.487032696814852
012080.OF,易方达中证500量化增强A,45.3490096336237,19.51269602663939,2.3240770814915432,0.9052973936237052,3.914915718124438,0.2312431374786827,-11.749403858660298
012081.OF,易方达中证500量化增强C,45.04930519636879,19.512428300864705,2.30874930079166,0.6055929563687951,3.912523517920371,0.15478321180563454,-11.769016561629787
006682.OF,景顺长城中证500指数增强A,44.84160862250474,18.938496953101744,2.3677490739390796,0.3978963825047381,3.999502954578684,0.09948645794828605,-12.174940898345167
003016.OF,中金中证500指数增强A,44.84250635217012,20.156982755918193,2.2246636262564707,0.39879411217011984,4.160927777961018,0.09584259411624327,-13.099324975891994
016935.OF,景顺长城中证500指数增强C,44.47473945201498,18.934718657494678,2.348846067190501,0.031027212014978867,4.00512348906998,0.007746880239686098,-12.193905540870787
014155.OF,国泰海通中证500A,44.452404337810215,21.07139464042935,2.1096090266621506,0.00869209781021495,3.7724459196688125,0.0023041013695904856,-12.843311598498325
003578.OF,中金中证500指数增强C,44.44011750228963,20.152463115031853,2.2051953276689766,-0.0035947377103652057,4.165508689747507,-0.0008629768842429425,-13.120189461219667
014344.OF,鹏华中证500指数增强A,44.15990569381051,19.921713673345806,2.216672040261984,-0.28380654618948964,5.1408519193797595,-0.05520613132613451,-12.668611009843234
014156.OF,国泰海通中证500C,44.05532724739143,21.069758723724952,2.090926992808147,-0.3883849926085714,3.7808203880236624,-0.10272505772526021,-12.866711319490967
015508.OF,兴业中证500指数增强C,41.80210572265746,20.03654082105631,2.0862935421830806,-2.6416065173425416,5.1266527543984575,-0.5152692495266334,-12.832324295867338
003986.OF,申万菱信中证500优选增强A,40.695338185289266,19.028787880071647,2.1386195716600755,-3.7483740547107356,6.369107247957344,-0.5885242481845299,-10.746615087040622
009300.OF,西部利得中证500指数增强C,40.91740135002707,19.24135078765526,2.126534763675666,-3.526310889972927,4.52493000037405,-0.7793072798212187,-12.068812627471836
006729.OF,万家中证500指数增强A,37.48475830119925,14.98791521615174,2.5009988220912653,-6.958953938800751,8.13485460550897,-0.855449086218223,-8.851793554800771
006730.OF,万家中证500指数增强C,37.18175912028251,14.991618239409915,2.480169820662804,-7.2619531197174885,8.134625139403045,-0.8927212988022707,-8.875387687470786
007413.OF,长城中证500指数增强C,39.97585382769171,19.40315660344105,2.060275791445305,-4.467858412308289,4.965762068584156,-0.8997326796171228,-11.230332075151605
002906.OF,南方中证500增强A,39.953024042173624,19.483078110010368,2.050652562012049,-4.490688197826376,4.843092401766199,-0.9272357050608188,-12.042713070990697
005062.OF,博时中证500指数增强A,39.3831076747646,19.82936097844439,1.9861006977267806,-5.060604565235392,5.42529701037165,-0.9327792663813488,-13.323259691538142
002907.OF,南方中证500增强C,39.56112471701888,19.480747174446602,2.03078066579049,-4.882587522981119,4.845989038350398,-1.0075523250962986,-12.055241853187294
002316.OF,创金合信中证500指数增强C,38.4682775589808,17.759076901558068,2.1661192060948755,-5.975434681019203,5.8698312904751155,-1.017990873215632,-12.250230556409473
005994.OF,国投瑞银中证500量化增强A,39.826993581938666,19.735461021026612,2.0180422205240647,-4.616718658061336,4.4753785255051985,-1.031581715770105,-12.39566626297011
502000.OF,西部利得中证500指数增强A,38.5711386764313,18.061620571575336,2.1355303375785137,-5.872573563568696,5.279173004696786,-1.1124040750973632,-11.386548819223853
007089.OF,国投瑞银中证500量化增强C,39.42618053104252,19.729618824565772,1.9983244928154482,-5.0175317089574785,4.480337999070628,-1.1199002642207536,-12.414582421651456
006593.OF,博道中证500指数增强A,38.85140627086351,18.603474641404002,2.08839515304284,-5.592305969136492,4.936126345571149,-1.1329341223516467,-12.564696268046847
006594.OF,博道中证500指数增强C,38.49103452689483,18.557521583782393,2.0741473667762045,-5.952677713105169,4.967335224169004,-1.1983644035421437,-12.574725427498961
000478.OF,建信中证500指数增强A,37.930330165688005,19.371083725119593,1.9580902495662427,-6.513382074311991,4.510641887590048,-1.4440033672883683,-12.401679421768705
004192.OF,招商中证500指数增强A,34.55519815285052,18.65103337686485,1.852722980792772,-9.888514087149481,5.8596099395789105,-1.6875720720516254,-13.120634321313943
004193.OF,招商中证500指数增强C,34.15375300249308,18.647776078292416,1.8315188287921866,-10.28995923750692,5.861864983343325,-1.7554070704027074,-13.145904023267091
013332.OF,富国中证500指数增强C,35.21045096181743,18.664228637724047,1.8865205546534207,-9.233261278182576,4.774198177608885,-1.9339920411110738,-12.405891980360066
161017.OF,富国中证500指数增强A,30.92215566614348,16.516083110493767,1.8722450994749826,-13.52155657385653,6.402456098808964,-2.1119327278748417,-11.072463768115945
001050.OF,汇添富中证500指数增强A,29.48636103450868,16.326786099015152,1.8060113518782075,-14.957351205491323,6.921559524585433,-2.160979928347462,-11.531615200061916
016854.OF,汇添富中证500指数增强C,29.08008564649346,16.2979258295445,1.7842813834492828,-15.363626593506543,6.947091502386436,-2.211519250643078,-11.534391534391526
021186.OF,中信保诚中证500指数增强C,29.61206700834663,19.142825818151827,1.5469015541199536,-14.831645231653368,6.1674740816048494,-2.4048167913490444,-14.709837035443437
